model,seed,return_type,method,forward,backward,zumbach
primary,1230001,log,winsor_975,0.23829147957357547,0.1653614985310759,0.07292998104249956
primary,1270009,log,winsor_975,0.2555378930020254,0.12833678376143082,0.12720110924059458
primary,1290017,log,winsor_975,0.2895351244567361,0.21810618945875648,0.07142893499797967
primary,1310021,log,winsor_975,0.2686704918512407,0.16363913553499615,0.10503135631624456
primary,1370003,log,winsor_975,0.2794280578441739,0.17338836134456287,0.10603969649961104
primary,1230001,log,winsor_990,0.2636004492602593,0.15533443692558893,0.10826601233467031
primary,1270009,log,winsor_990,0.2717213507615143,0.11657982387093518,0.15514152689057914
primary,1290017,log,winsor_990,0.3128523391744096,0.20455189874232751,0.10830044043208203
primary,1310021,log,winsor_990,0.27745599091496087,0.15539615445804797,0.12205983645691289
primary,1370003,log,winsor_990,0.28137688778818404,0.15567786435202277,0.1256990234361613
primary,1230001,log,winsor_995,0.26635541491820347,0.14635036420479486,0.12000505071340857
primary,1270009,log,winsor_995,0.27744564663257637,0.11061962080123543,0.16682602583134093
primary,1290017,log,winsor_995,0.31388688132286724,0.19355522817791082,0.1203316531449564
primary,1310021,log,winsor_995,0.2758438585300718,0.150642738040217,0.12520112048985482
primary,1370003,log,winsor_995,0.27441893165196807,0.14525739985672323,0.12916153179524487
