model,seed,path,return_type,window,direction,decile,mean_standardized_response,count
primary,1230001,3,ito,5,backward,4,-0.15150053439232763,125
primary,1230001,3,ito,5,backward,5,-0.11999119988952613,125
primary,1230001,3,ito,5,backward,6,-0.07144419129335786,125
primary,1230001,3,ito,5,backward,7,0.10711687632925865,125
primary,1230001,3,ito,5,backward,8,0.1167853375719494,125
primary,1230001,3,ito,5,backward,9,0.24405661937798065,125
primary,1230001,3,ito,5,backward,10,0.2785643440562894,125
primary,1230001,3,ito,10,forward,1,-0.16635710538249882,124
primary,1230001,3,ito,10,forward,2,-0.16179983299780137,124
primary,1230001,3,ito,10,forward,3,-0.0743765327615314,124
primary,1230001,3,ito,10,forward,4,-0.1741069141880519,124
primary,1230001,3,ito,10,forward,5,-0.02636604259331022,124
primary,1230001,3,ito,10,forward,6,-0.10342087434560937,124
primary,1230001,3,ito,10,forward,7,-0.177019282499105,124
primary,1230001,3,ito,10,forward,8,-0.15118338577967969,124
primary,1230001,3,ito,10,forward,9,0.06491124793088862,124
primary,1230001,3,ito,10,forward,10,0.9697187226167003,124
primary,1230001,3,ito,10,backward,1,-0.15932247051961954,124
primary,1230001,3,ito,10,backward,2,-0.14455082238373926,124
primary,1230001,3,ito,10,backward,3,0.007354956278764917,124
primary,1230001,3,ito,10,backward,4,-0.09884149204101211,124
primary,1230001,3,ito,10,backward,5,-0.05209317190288522,124
primary,1230001,3,ito,10,backward,6,-0.11221267157877134,124
primary,1230001,3,ito,10,backward,7,-0.1242965320873555,124
primary,1230001,3,ito,10,backward,8,0.060782902095143365,124
