model,seed,path,return_type,window,method,forward,backward,zumbach,forward_count,backward_count
primary,1230001,0,ito,5,spearman,0.16517585944055008,0.23871321517645772,-0.07353735573590764,1250,1250
primary,1230001,0,ito,5,gaussian_rank,0.19844553648205362,0.23315891527461977,-0.03471337879256614,1250,1250
primary,1230001,0,ito,5,kendall,0.11037181745396316,0.1619714971977582,-0.051599679743795035,1250,1250
primary,1230001,0,ito,5,winsor_995,0.27542815546131305,0.18432088226107068,0.09110727320024237,1250,1250
primary,1230001,0,ito,5,winsor_990,0.28545265598436975,0.20030811322897044,0.08514454275539932,1250,1250
primary,1230001,0,ito,5,winsor_975,0.2944319171647954,0.23980273614603398,0.05462918101876141,1250,1250
primary,1230001,0,ito,5,winsor_950,0.2569808918523198,0.27827153806031707,-0.021290646207997255,1250,1250
primary,1230001,0,ito,5,trim_995,0.2605025990742108,0.2039816559789127,0.05652094309529809,1236,1236
primary,1230001,0,ito,5,trim_990,0.18844751960498043,0.2093187719741243,-0.02087125236914386,1224,1224
primary,1230001,0,ito,5,trim_975,0.17745506693325097,0.24370943058621522,-0.06625436365296425,1189,1187
primary,1230001,0,ito,5,trim_950,0.12251863013108966,0.23078655798019693,-0.10826792784910727,1142,1134
primary,1230001,0,ito,10,pearson,0.24233794007827256,0.16046380015261372,0.08187413992565884,1240,1240
primary,1230001,0,ito,10,spearman,0.146782032540092,0.19317998910282602,-0.046397956562734016,1240,1240
primary,1230001,0,ito,10,gaussian_rank,0.15764616261623157,0.20160622223700597,-0.0439600596207744,1240,1240
primary,1230001,0,ito,10,kendall,0.10024733786352157,0.1286833814991278,-0.028436043635606242,1240,1240
primary,1230001,0,ito,10,winsor_995,0.24606103447385164,0.16308671126427673,0.0829743232095749,1240,1240
primary,1230001,0,ito,10,winsor_990,0.2606350334138533,0.17288696451395763,0.08774806889989567,1240,1240
primary,1230001,0,ito,10,winsor_975,0.2716360041800946,0.18570364651037755,0.08593235766971705,1240,1240
primary,1230001,0,ito,10,winsor_950,0.2521676698755723,0.19719917665654896,0.05496849321902336,1240,1240
primary,1230001,0,ito,10,trim_995,0.22268166894295782,0.1436843940139728,0.07899727492898503,1226,1226
primary,1230001,0,ito,10,trim_990,0.22362596436233914,0.1548162916903528,0.06880967267198634,1214,1214
primary,1230001,0,ito,10,trim_975,0.16479291564081952,0.14365457939189594,0.021138336248923584,1179,1178
primary,1230001,0,ito,10,trim_950,0.08738891778382953,0.13184530088159946,-0.04445638309776993,1127,1119
primary,1230001,0,ito,20,pearson,0.33119591058230463,0.17733652925992083,0.1538593813223838,1220,1220
primary,1230001,0,ito,20,spearman,0.07819071386628777,0.19260824858802233,-0.11441753472173456,1220,1220
primary,1230001,0,ito,20,gaussian_rank,0.13464508968617295,0.194694606438114,-0.06004951675194106,1220,1220
primary,1230001,0,ito,20,kendall,0.0502050861361772,0.1285816108339273,-0.07837652469775011,1220,1220
primary,1230001,0,ito,20,winsor_995,0.33918667082242354,0.1814481126766348,0.15773855814578874,1220,1220
primary,1230001,0,ito,20,winsor_990,0.3401110391326992,0.18715670273702878,0.1529543363956704,1220,1220
primary,1230001,0,ito,20,winsor_975,0.31269047338932515,0.19675273773618351,0.11593773565314164,1220,1220
primary,1230001,0,ito,20,winsor_950,0.25592894172544045,0.18632172955577628,0.06960721216966417,1220,1220
primary,1230001,0,ito,20,trim_995,0.30880444727287726,0.18927407357408718,0.11953037369879008,1206,1206
primary,1230001,0,ito,20,trim_990,0.22439740774263214,0.19964627937907514,0.024751128363557,1195,1194
primary,1230001,0,ito,20,trim_975,0.11507430427553728,0.1449591347408123,-0.029884830465275014,1172,1158
primary,1230001,0,ito,20,trim_950,0.02001592774648281,0.09258180038637269,-0.07256587263988988,1118,1108
primary,1230001,1,log,5,pearson,0.154764984776486,0.07356246591045394,0.08120251886603207,1250,1250
primary,1230001,1,log,5,spearman,0.11322372891118652,0.17405118646475937,-0.06082745755357284,1250,1250
